Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,Value
HHS Region 1,1 wk ahead,Bin,percent,0.0,0.1,0.003830815833522978
HHS Region 1,1 wk ahead,Bin,percent,0.1,0.2,0.004517341366137182
HHS Region 1,1 wk ahead,Bin,percent,0.2,0.3,0.007618807870276245
HHS Region 1,1 wk ahead,Bin,percent,0.3,0.4,0.014446057191486446
HHS Region 1,1 wk ahead,Bin,percent,0.4,0.5,0.021677219828541237
HHS Region 1,1 wk ahead,Bin,percent,0.5,0.6,0.028602288744716493
HHS Region 1,1 wk ahead,Bin,percent,0.6,0.7,0.036847018761463166
HHS Region 1,1 wk ahead,Bin,percent,0.7,0.8,0.057435874982154786
HHS Region 1,1 wk ahead,Bin,percent,0.8,0.9,0.057947302420672885
HHS Region 1,1 wk ahead,Bin,percent,0.9,1.0,0.053822663096077084
HHS Region 1,1 wk ahead,Bin,percent,1.0,1.1,0.06686360914144321
HHS Region 1,1 wk ahead,Bin,percent,1.1,1.2,0.09572151412317316
HHS Region 1,1 wk ahead,Bin,percent,1.2,1.3,0.13334747884434225
HHS Region 1,1 wk ahead,Bin,percent,1.3,1.4,0.09841232646547808
HHS Region 1,1 wk ahead,Bin,percent,1.4,1.5,0.06439334397006861
HHS Region 1,1 wk ahead,Bin,percent,1.5,1.6,0.047011941213656615
HHS Region 1,1 wk ahead,Bin,percent,1.6,1.7,0.032158734158604006
HHS Region 1,1 wk ahead,Bin,percent,1.7,1.8,0.024340092217743744
HHS Region 1,1 wk ahead,Bin,percent,1.8,1.9,0.01781459844482481
HHS Region 1,1 wk ahead,Bin,percent,1.9,2.0,0.013791414770309192
HHS Region 1,1 wk ahead,Bin,percent,10.0,10.1,0.00023770329606945503
HHS Region 1,1 wk ahead,Bin,percent,10.1,10.2,0.0002198837907564079
HHS Region 1,1 wk ahead,Bin,percent,10.2,10.3,0.00023762491676161665
HHS Region 1,1 wk ahead,Bin,percent,10.3,10.4,0.00021091666566300238
HHS Region 1,1 wk ahead,Bin,percent,10.4,10.5,0.00021087895196167072
HHS Region 1,1 wk ahead,Bin,percent,10.5,10.6,0.00020195180937425728
HHS Region 1,1 wk ahead,Bin,percent,10.6,10.7,0.00022858520713270927
HHS Region 1,1 wk ahead,Bin,percent,10.7,10.8,0.00021965891013867782
HHS Region 1,1 wk ahead,Bin,percent,10.8,10.9,0.00020184301864877613
HHS Region 1,1 wk ahead,Bin,percent,10.9,11.0,0.00021958747853860784
HHS Region 1,1 wk ahead,Bin,percent,11.0,11.1,0.00021066229579953729
HHS Region 1,1 wk ahead,Bin,percent,11.1,11.2,0.000201767733787791
HHS Region 1,1 wk ahead,Bin,percent,11.2,11.3,0.0002106231534613935
HHS Region 1,1 wk ahead,Bin,percent,11.3,11.4,0.0002020040135690474
HHS Region 1,1 wk ahead,Bin,percent,11.4,11.5,0.00021055463125756028
HHS Region 1,1 wk ahead,Bin,percent,11.5,11.6,0.0002016611003027887
HHS Region 1,1 wk ahead,Bin,percent,11.6,11.7,0.00021940749543446886
HHS Region 1,1 wk ahead,Bin,percent,11.7,11.8,0.00021048410824734017
HHS Region 1,1 wk ahead,Bin,percent,11.8,11.9,0.00020156091019168929
HHS Region 1,1 wk ahead,Bin,percent,11.9,12.0,0.00020155818651935336
HHS Region 1,1 wk ahead,Bin,percent,12.0,12.1,0.00021930531451057865
HHS Region 1,1 wk ahead,Bin,percent,12.1,12.2,0.00021041291770661398
HHS Region 1,1 wk ahead,Bin,percent,12.2,12.3,0.00020147952388890327
HHS Region 1,1 wk ahead,Bin,percent,12.3,12.4,0.00020143471578201765
HHS Region 1,1 wk ahead,Bin,percent,12.4,12.5,0.0002192154156397988
HHS Region 1,1 wk ahead,Bin,percent,12.5,12.6,0.00020141434468666085
HHS Region 1,1 wk ahead,Bin,percent,12.6,12.7,0.0002014464350451373
HHS Region 1,1 wk ahead,Bin,percent,12.7,12.8,0.0002014499829833671
HHS Region 1,1 wk ahead,Bin,percent,12.8,12.9,0.00020120146763402636
HHS Region 1,1 wk ahead,Bin,percent,12.9,13.0,0.0001997367183885001
HHS Region 1,1 wk ahead,Bin,percent,13.0,100.0,0.00023146032362615895
HHS Region 1,1 wk ahead,Bin,percent,2.0,2.1,0.01171488866910938
HHS Region 1,1 wk ahead,Bin,percent,2.1,2.2,0.009076090551322566
HHS Region 1,1 wk ahead,Bin,percent,2.2,2.3,0.007172243227926404
HHS Region 1,1 wk ahead,Bin,percent,2.3,2.4,0.0061006522731223796
HHS Region 1,1 wk ahead,Bin,percent,2.4,2.5,0.004687830038049006
HHS Region 1,1 wk ahead,Bin,percent,2.5,2.6,0.004573051481221173
HHS Region 1,1 wk ahead,Bin,percent,2.6,2.7,0.0041908626452485664
HHS Region 1,1 wk ahead,Bin,percent,2.7,2.8,0.004032473772363498
HHS Region 1,1 wk ahead,Bin,percent,2.8,2.9,0.0035704241982938726
HHS Region 1,1 wk ahead,Bin,percent,2.9,3.0,0.0031812410083636245
HHS Region 1,1 wk ahead,Bin,percent,3.0,3.1,0.0028852803357581115
HHS Region 1,1 wk ahead,Bin,percent,3.1,3.2,0.0026959039731229628
HHS Region 1,1 wk ahead,Bin,percent,3.2,3.3,0.0027089759509194467
HHS Region 1,1 wk ahead,Bin,percent,3.3,3.4,0.0023082804214141824
HHS Region 1,1 wk ahead,Bin,percent,3.4,3.5,0.0019065367926940973
HHS Region 1,1 wk ahead,Bin,percent,3.5,3.6,0.002254582378246395
HHS Region 1,1 wk ahead,Bin,percent,3.6,3.7,0.0017433579051598187
HHS Region 1,1 wk ahead,Bin,percent,3.7,3.8,0.001719605635920747
HHS Region 1,1 wk ahead,Bin,percent,3.8,3.9,0.001619121249301576
HHS Region 1,1 wk ahead,Bin,percent,3.9,4.0,0.0014839925203869644
HHS Region 1,1 wk ahead,Bin,percent,4.0,4.1,0.0014716159595130256
HHS Region 1,1 wk ahead,Bin,percent,4.1,4.2,0.001372881878673009
HHS Region 1,1 wk ahead,Bin,percent,4.2,4.3,0.0015193651443916431
HHS Region 1,1 wk ahead,Bin,percent,4.3,4.4,0.0013411565969039842
HHS Region 1,1 wk ahead,Bin,percent,4.4,4.5,0.00132745067293436
HHS Region 1,1 wk ahead,Bin,percent,4.5,4.6,0.0011802580566406
HHS Region 1,1 wk ahead,Bin,percent,4.6,4.7,0.0010871517811638636
HHS Region 1,1 wk ahead,Bin,percent,4.7,4.8,0.0009058631522023824
HHS Region 1,1 wk ahead,Bin,percent,4.8,4.9,0.00100850126117368
HHS Region 1,1 wk ahead,Bin,percent,4.9,5.0,0.0008483909293999539
HHS Region 1,1 wk ahead,Bin,percent,5.0,5.1,0.0008309061005506037
HHS Region 1,1 wk ahead,Bin,percent,5.1,5.2,0.0008666699576217353
HHS Region 1,1 wk ahead,Bin,percent,5.2,5.3,0.0008390557021116131
HHS Region 1,1 wk ahead,Bin,percent,5.3,5.4,0.0007819365403824442
HHS Region 1,1 wk ahead,Bin,percent,5.4,5.5,0.0007415078333388254
HHS Region 1,1 wk ahead,Bin,percent,5.5,5.6,0.0005874583689066589
HHS Region 1,1 wk ahead,Bin,percent,5.6,5.7,0.0007032841183220131
HHS Region 1,1 wk ahead,Bin,percent,5.7,5.8,0.0006306703464138023
HHS Region 1,1 wk ahead,Bin,percent,5.8,5.9,0.0005949080558222119
HHS Region 1,1 wk ahead,Bin,percent,5.9,6.0,0.0006469475514589822
HHS Region 1,1 wk ahead,Bin,percent,6.0,6.1,0.0006285011814904646
HHS Region 1,1 wk ahead,Bin,percent,6.1,6.2,0.0005771614778720726
HHS Region 1,1 wk ahead,Bin,percent,6.2,6.3,0.0005778112918274129
HHS Region 1,1 wk ahead,Bin,percent,6.3,6.4,0.0006662308729544611
HHS Region 1,1 wk ahead,Bin,percent,6.4,6.5,0.0004959572353861407
HHS Region 1,1 wk ahead,Bin,percent,6.5,6.6,0.00046691160304672473
HHS Region 1,1 wk ahead,Bin,percent,6.6,6.7,0.0005011532067089158
HHS Region 1,1 wk ahead,Bin,percent,6.7,6.8,0.0004119106768483877
HHS Region 1,1 wk ahead,Bin,percent,6.8,6.9,0.0004471476345355994
HHS Region 1,1 wk ahead,Bin,percent,6.9,7.0,0.00044656709561947987
HHS Region 1,1 wk ahead,Bin,percent,7.0,7.1,0.00038407714481363567
HHS Region 1,1 wk ahead,Bin,percent,7.1,7.2,0.00044606081847835857
HHS Region 1,1 wk ahead,Bin,percent,7.2,7.3,0.0004371190433201275
HHS Region 1,1 wk ahead,Bin,percent,7.3,7.4,0.0004098546554717068
HHS Region 1,1 wk ahead,Bin,percent,7.4,7.5,0.00033794116372433836
HHS Region 1,1 wk ahead,Bin,percent,7.5,7.6,0.0003025118082405901
HHS Region 1,1 wk ahead,Bin,percent,7.6,7.7,0.0003464898674476755
HHS Region 1,1 wk ahead,Bin,percent,7.7,7.8,0.0003466352355106724
HHS Region 1,1 wk ahead,Bin,percent,7.8,7.9,0.00031981171619344735
HHS Region 1,1 wk ahead,Bin,percent,7.9,8.0,0.00025712868114716327
HHS Region 1,1 wk ahead,Bin,percent,8.0,8.1,0.0003017708390405647
HHS Region 1,1 wk ahead,Bin,percent,8.1,8.2,0.0002752673051868939
HHS Region 1,1 wk ahead,Bin,percent,8.2,8.3,0.00031041825193104213
HHS Region 1,1 wk ahead,Bin,percent,8.3,8.4,0.00032779292223759216
HHS Region 1,1 wk ahead,Bin,percent,8.4,8.5,0.0002476861610802058
HHS Region 1,1 wk ahead,Bin,percent,8.5,8.6,0.00031871235769243683
HHS Region 1,1 wk ahead,Bin,percent,8.6,8.7,0.00022083139961020083
HHS Region 1,1 wk ahead,Bin,percent,8.7,8.8,0.00028327801122169635
HHS Region 1,1 wk ahead,Bin,percent,8.8,8.9,0.00023843675825847643
HHS Region 1,1 wk ahead,Bin,percent,8.9,9.0,0.000238353736455292
HHS Region 1,1 wk ahead,Bin,percent,9.0,9.1,0.00023827143119264878
HHS Region 1,1 wk ahead,Bin,percent,9.1,9.2,0.00030045110464373945
HHS Region 1,1 wk ahead,Bin,percent,9.2,9.3,0.0002825920765988905
HHS Region 1,1 wk ahead,Bin,percent,9.3,9.4,0.0002292047930813684
HHS Region 1,1 wk ahead,Bin,percent,9.4,9.5,0.00023801847207224322
HHS Region 1,1 wk ahead,Bin,percent,9.5,9.6,0.00022019365647500902
HHS Region 1,1 wk ahead,Bin,percent,9.6,9.7,0.00021122962014486597
HHS Region 1,1 wk ahead,Bin,percent,9.7,9.8,0.0002111867252250339
HHS Region 1,1 wk ahead,Bin,percent,9.8,9.9,0.00021114482710201676
HHS Region 1,1 wk ahead,Bin,percent,9.9,10.0,0.00022888382604256002
HHS Region 1,1 wk ahead,Point,percent,,,1.3075781212121214
HHS Region 1,2 wk ahead,Bin,percent,0.0,0.1,0.002793653461934109
HHS Region 1,2 wk ahead,Bin,percent,0.1,0.2,0.0026947058525086404
HHS Region 1,2 wk ahead,Bin,percent,0.2,0.3,0.004836602713223261
HHS Region 1,2 wk ahead,Bin,percent,0.3,0.4,0.009024445611602018
HHS Region 1,2 wk ahead,Bin,percent,0.4,0.5,0.016266971843269737
HHS Region 1,2 wk ahead,Bin,percent,0.5,0.6,0.024856707824084667
HHS Region 1,2 wk ahead,Bin,percent,0.6,0.7,0.03530011933257116
HHS Region 1,2 wk ahead,Bin,percent,0.7,0.8,0.04263111620402801
HHS Region 1,2 wk ahead,Bin,percent,0.8,0.9,0.0560176909274535
HHS Region 1,2 wk ahead,Bin,percent,0.9,1.0,0.06562402862893411
HHS Region 1,2 wk ahead,Bin,percent,1.0,1.1,0.0612497148176079
HHS Region 1,2 wk ahead,Bin,percent,1.1,1.2,0.07461289680843808
HHS Region 1,2 wk ahead,Bin,percent,1.2,1.3,0.10670453457466786
HHS Region 1,2 wk ahead,Bin,percent,1.3,1.4,0.08141987278197484
HHS Region 1,2 wk ahead,Bin,percent,1.4,1.5,0.0704057405106979
HHS Region 1,2 wk ahead,Bin,percent,1.5,1.6,0.05919710507925705
HHS Region 1,2 wk ahead,Bin,percent,1.6,1.7,0.04646366144670752
HHS Region 1,2 wk ahead,Bin,percent,1.7,1.8,0.038160546360169766
HHS Region 1,2 wk ahead,Bin,percent,1.8,1.9,0.029915321900748387
HHS Region 1,2 wk ahead,Bin,percent,1.9,2.0,0.02050088382071845
HHS Region 1,2 wk ahead,Bin,percent,10.0,10.1,0.0002485607314569234
HHS Region 1,2 wk ahead,Bin,percent,10.1,10.2,0.00021274647676064533
HHS Region 1,2 wk ahead,Bin,percent,10.2,10.3,0.0002574460805325432
HHS Region 1,2 wk ahead,Bin,percent,10.3,10.4,0.00022163182799035322
HHS Region 1,2 wk ahead,Bin,percent,10.4,10.5,0.0002304170271806625
HHS Region 1,2 wk ahead,Bin,percent,10.5,10.6,0.00022101380764745704
HHS Region 1,2 wk ahead,Bin,percent,10.6,10.7,0.0002120375101178723
HHS Region 1,2 wk ahead,Bin,percent,10.7,10.8,0.0002120071974574564
HHS Region 1,2 wk ahead,Bin,percent,10.8,10.9,0.00020303090131322827
HHS Region 1,2 wk ahead,Bin,percent,10.9,11.0,0.00020300058992820188
HHS Region 1,2 wk ahead,Bin,percent,11.0,11.1,0.00020300058225835804
HHS Region 1,2 wk ahead,Bin,percent,11.1,11.2,0.0002032743738840757
HHS Region 1,2 wk ahead,Bin,percent,11.2,11.3,0.00022083193043167696
HHS Region 1,2 wk ahead,Bin,percent,11.3,11.4,0.00019396366861217969
HHS Region 1,2 wk ahead,Bin,percent,11.4,11.5,0.0002028793437945253
HHS Region 1,2 wk ahead,Bin,percent,11.5,11.6,0.00019390305106019336
HHS Region 1,2 wk ahead,Bin,percent,11.6,11.7,0.0002120967271354701
HHS Region 1,2 wk ahead,Bin,percent,11.7,11.8,0.00020317454765833492
HHS Region 1,2 wk ahead,Bin,percent,11.8,11.9,0.00020314424004911586
HHS Region 1,2 wk ahead,Bin,percent,11.9,12.0,0.00019416794857427932
HHS Region 1,2 wk ahead,Bin,percent,12.0,12.1,0.0002210058971167463
HHS Region 1,2 wk ahead,Bin,percent,12.1,12.2,0.00021202960636161259
HHS Region 1,2 wk ahead,Bin,percent,12.2,12.3,0.00019410733393720482
HHS Region 1,2 wk ahead,Bin,percent,12.3,12.4,0.0001941073526018059
HHS Region 1,2 wk ahead,Bin,percent,12.4,12.5,0.00020302197045488296
HHS Region 1,2 wk ahead,Bin,percent,12.5,12.6,0.00019403801722411146
